Movie_Name,Star_Distribution
小鞋子 بچههای آسمان,"[66.0, 29.3, 4.5, 0.2, 0.1]"
少年时代 Boyhood,"[42.9, 41.5, 13.9, 1.4, 0.4]"
少年派的奇幻漂流 Life of Pi,"[60.7, 31.9, 6.8, 0.5, 0.2]"
岁月的童话 おもひでぽろぽろ,"[44.0, 41.6, 13.4, 0.8, 0.1]"
岁月神偷 歲月神偷,"[47.3, 40.3, 11.4, 0.8, 0.2]"
巴里·林登 Barry Lyndon,"[50.9, 39.2, 9.1, 0.6, 0.2]"
布达佩斯之恋 Gloomy Sunday - Ein Lied von Liebe und Tod,"[44.0, 42.6, 12.2, 0.9, 0.2]"
布达佩斯大饭店 The Grand Budapest Hotel,"[52.1, 37.6, 9.3, 0.8, 0.2]"
帝国的毁灭 Der Untergang,"[46.5, 43.3, 9.5, 0.5, 0.1]"
幸福的拉扎罗 Lazzaro felice,"[44.5, 41.9, 11.5, 1.5, 0.6]"
幸福终点站 The Terminal,"[48.6, 41.0, 9.7, 0.6, 0.1]"
廊桥遗梦 The Bridges of Madison County,"[46.5, 40.2, 11.9, 1.0, 0.4]"
开心家族 헬로우 고스트,"[43.9, 40.9, 13.4, 1.4, 0.4]"
弗里达 Frida,"[47.5, 41.5, 10.2, 0.6, 0.1]"
弱点 The Blind Side,"[41.5, 44.7, 12.6, 1.0, 0.2]"
当幸福来敲门 The Pursuit of Happyness,"[61.1, 31.9, 6.5, 0.4, 0.1]"
影武者,"[56.6, 35.8, 6.8, 0.6, 0.2]"
"德州巴黎 Paris, Texas","[46.7, 40.2, 11.8, 1.1, 0.2]"
心灵捕手 Good Will Hunting,"[52.3, 38.8, 8.3, 0.5, 0.1]"
心迷宫,"[45.8, 44.3, 8.9, 0.7, 0.3]"
忠犬八公物语 ハチ公物語,"[63.8, 29.2, 6.4, 0.4, 0.2]"
忠犬八公的故事 Hachi: A Dog's Tale,"[72.1, 23.1, 4.4, 0.3, 0.1]"
怦然心动 Flipped,"[60.1, 32.2, 7.1, 0.5, 0.1]"
恋恋笔记本 The Notebook,"[43.3, 40.9, 14.2, 1.3, 0.3]"
恋恋风尘 戀戀風塵,"[41.2, 46.6, 11.3, 0.7, 0.2]"
恐怖分子 恐怖份子,"[50.8, 40.6, 7.8, 0.6, 0.2]"
恐怖游轮 Triangle,"[39.8, 44.0, 14.4, 1.4, 0.4]"
恐怖直播 더 테러 라이브,"[49.0, 40.6, 9.6, 0.6, 0.2]"
悲情城市,"[53.6, 36.6, 8.8, 0.7, 0.3]"
悲惨世界 Les Misérables,"[45.2, 39.6, 13.3, 1.5, 0.4]"
情书 Love Letter,"[55.2, 34.3, 9.6, 0.8, 0.2]"
情枭的黎明 Carlito's Way,"[45.7, 43.7, 10.0, 0.5, 0.1]"
想飞的钢琴少年 Vitus,"[42.2, 45.6, 11.4, 0.7, 0.2]"
我不是药神,"[57.9, 34.6, 6.9, 0.5, 0.2]"
我们俩,"[46.3, 42.2, 10.7, 0.7, 0.1]"
我们天上见,"[46.0, 42.1, 11.0, 0.7, 0.1]"
我在伊朗长大 Persepolis,"[45.7, 42.6, 10.8, 0.8, 0.2]"
我是山姆 I Am Sam,"[54.1, 37.2, 8.1, 0.4, 0.1]"
我爱你 그대를 사랑합니다,"[61.1, 30.6, 7.4, 0.6, 0.2]"
我的名字叫可汗 My Name Is Khan,"[43.0, 39.0, 14.8, 2.3, 0.9]"
我能说 아이 캔 스피크,"[50.7, 39.2, 9.2, 0.7, 0.2]"
战争之王 Lord of War,"[43.8, 44.0, 11.4, 0.6, 0.1]"
战场上的快乐圣诞 Merry Christmas Mr. Lawrence,"[52.5, 37.1, 9.2, 0.9, 0.3]"
战舰波将金号 Броненосец Потёмкин,"[44.1, 42.8, 12.0, 0.7, 0.3]"
房间 Room,"[48.2, 43.2, 8.1, 0.4, 0.1]"
拯救大兵瑞恩 Saving Private Ryan,"[57.1, 35.3, 7.1, 0.4, 0.1]"
指环王1：魔戒再现 The Lord of the Rings: The Fellowship of the Ring,"[59.2, 31.8, 8.1, 0.6, 0.2]"
指环王2：双塔奇兵 The Lord of the Rings: The Two Towers,"[61.0, 31.0, 7.3, 0.5, 0.2]"
指环王3：王者无敌 The Lord of the Rings: The Return of the King,"[66.1, 26.9, 6.4, 0.5, 0.2]"
控方证人 Witness for the Prosecution,"[81.5, 16.7, 1.6, 0.1, 0.1]"
搏击俱乐部 Fight Club,"[61.0, 30.4, 7.5, 0.8, 0.3]"
摔跤吧！爸爸 Dangal,"[60.0, 33.0, 6.5, 0.4, 0.2]"
摩登时代 Modern Times,"[67.9, 27.5, 4.3, 0.2, 0.1]"
撞车 Crash,"[43.5, 43.0, 12.3, 0.9, 0.3]"
攻壳机动队2：无罪 攻殻機動隊2 イノセンス,"[63.7, 28.3, 7.0, 0.7, 0.2]"
放大 Blow-Up,"[42.4, 42.7, 13.0, 1.5, 0.5]"
放牛班的春天 Les choristes,"[68.7, 27.1, 3.9, 0.2, 0.1]"
教父 The Godfather,"[69.9, 24.3, 5.2, 0.5, 0.2]"
教父2 The Godfather: Part Ⅱ,"[65.0, 29.0, 5.5, 0.3, 0.1]"
断背山 Brokeback Mountain,"[51.0, 36.9, 11.1, 0.8, 0.2]"
斯图尔特：倒带人生 Stuart: A Life Backwards,"[48.2, 40.1, 10.6, 0.9, 0.2]"
斯隆女士 Miss Sloane,"[48.4, 42.0, 8.6, 0.7, 0.3]"
新世界 신세계,"[48.0, 41.7, 9.5, 0.6, 0.2]"
新世纪福音战士剧场版：Air/真心为你 新世紀エヴァンゲリオン劇場版 Air/まごころを、君に,"[76.9, 18.0, 4.3, 0.5, 0.4]"
新世纪福音战士剧场版：死与新生 新世紀エヴァンゲリオン劇場版 シト新生,"[69.7, 23.3, 6.0, 0.6, 0.4]"
无主之作 Werk ohne Autor,"[42.3, 44.9, 11.5, 1.0, 0.3]"
无人知晓 誰も知らない,"[61.8, 32.5, 5.1, 0.4, 0.2]"
无耻混蛋 Inglourious Basterds,"[42.0, 44.3, 12.2, 1.1, 0.4]"
无间道 無間道,"[64.5, 30.1, 5.1, 0.2, 0.1]"
无间道(正序版),"[53.2, 37.9, 8.3, 0.4, 0.2]"
日落大道 Sunset Blvd.,"[46.5, 42.9, 9.7, 0.7, 0.2]"
时时刻刻 The Hours,"[45.2, 39.0, 13.8, 1.5, 0.4]"
星际穿越 Interstellar,"[70.0, 24.2, 4.9, 0.5, 0.3]"
春光乍泄 春光乍洩,"[55.5, 35.2, 8.5, 0.6, 0.2]"
春夏秋冬又一春 봄 여름 가을 겨울 그리고 봄,"[40.6, 44.5, 13.2, 1.3, 0.4]"
昨天,"[44.5, 40.5, 13.0, 1.4, 0.5]"
暖暖内含光 Eternal Sunshine of the Spotless Mind,"[41.6, 41.9, 14.7, 1.5, 0.3]"
暗恋桃花源 暗戀桃花源,"[43.1, 42.7, 12.6, 1.2, 0.4]"
暴雨将至 Пред дождот,"[47.0, 41.2, 10.6, 1.0, 0.3]"
最完美的离婚 2014特别篇 最高の離婚Special 2014,"[63.6, 29.0, 6.8, 0.4, 0.1]"
月球 Moon,"[40.3, 46.6, 12.0, 0.8, 0.2]"
朗读者 The Reader,"[40.6, 46.5, 12.1, 0.7, 0.1]"
朝圣之路 The Way,"[40.6, 45.1, 13.1, 1.0, 0.2]"
末代皇帝 The Last Emperor,"[65.5, 28.9, 5.2, 0.3, 0.1]"
末路狂花 Thelma & Louise,"[49.0, 40.2, 9.9, 0.7, 0.2]"
本杰明·巴顿奇事 The Curious Case of Benjamin Button,"[53.9, 36.5, 8.9, 0.6, 0.1]"
机器管家 Bicentennial Man,"[43.0, 42.5, 13.2, 1.2, 0.2]"
杀人回忆 살인의 추억,"[50.5, 39.3, 9.2, 0.8, 0.3]"
杀死一只知更鸟 To Kill a Mockingbird,"[41.6, 45.2, 12.2, 0.8, 0.2]"
极速风流 Rush,"[48.7, 41.1, 9.4, 0.6, 0.2]"
枪火 鎗火,"[48.2, 39.8, 10.9, 0.9, 0.3]"
柏林苍穹下 Der Himmel über Berlin,"[44.8, 39.7, 13.2, 1.7, 0.5]"
